No,Name,ClanTag
1,北海道,Kochi
2,青森,Kochi
3,岩手,Kochi
4,宮城,Kochi
5,秋田,Kochi
6,山形,Kochi
7,福島,Kochi
8,茨城,Kochi
9,栃木,Kochi
10,群馬,Kochi
11,埼玉,Kochi
12,千葉,Kochi
13,東京,Kochi
14,神奈川,Kochi
15,新潟,Kochi
16,富山,Kochi
17,石川,Kochi
18,福井,null
19,山梨,Kochi
20,長野,Kochi
21,岐阜,Kochi
22,静岡,Kochi
23,愛知,Kochi
24,三重,Kochi
25,滋賀,Kochi
26,京都,Kochi
27,大阪,Kochi
28,兵庫,Kochi
29,奈良,Kochi
30,和歌山,Kochi
31,鳥取,Kochi
32,島根,Kochi
33,岡山,Kochi
34,広島,Kochi
35,山口,null
36,徳島,null
37,香川,Kochi
38,愛媛,Kochi
39,高知,Kochi
40,福岡,Kochi
41,佐賀,Kochi
42,長崎,Kochi
43,熊本,null
44,大分,null
45,宮崎,Kochi
46,鹿児島,Kochi
47,沖縄,Kochi
